"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
4339,536230,"NCR",219855,"Wage/Salaries","2",90770,4732,9664,69330,15000,62741,64226,0,0,"Female",64,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",12,2,1,7,"Duplex",80,65,3,1,0,7,0
4340,78097,"IX - Zasmboanga Peninsula",38164,"Other sources of Income","1",643,1146,2150,8724,2100,2218,6966,26740,26740,"Male",28,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",5,1,2,1,"Single house",22,3,1,1,0,1,0
4341,186513,"V - Bicol Region",72854,"Enterpreneurial Activities","0",3790,0,1650,30978,18000,14919,8982,31955,128159,"Female",84,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,0,1,"Single house",20,43,2,1,0,1,0
4342,1099813,"NCR",325549,"Enterpreneurial Activities","2",91850,800,7375,299820,210000,147568,73578,0,795212,"Male",72,"Married","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",11,0,4,2,"Single house",104,14,6,1,1,5,0
4343,120325,"V - Bicol Region",62957,"Wage/Salaries","0",8040,988,2296,16200,7200,12975,6960,0,31500,"Male",48,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",5,1,2,1,"Single house",24,5,1,1,0,1,0
4344,342493,"NCR",111633,"Wage/Salaries","2",28220,1876,3970,41382,25200,69204,81108,0,75523,"Female",46,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",5,0,2,2,"Single house",24,21,1,1,0,3,1
4345,106208,"XI - Davao Region",71580,"Other sources of Income","0",5110,0,1435,12300,7800,14906,2604,0,40608,"Male",32,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,1,"Single house",80,12,2,1,0,1,1
4346,46286,"V - Bicol Region",37076,"Wage/Salaries","1",1495,1350,740,8556,3600,968,2046,0,0,"Male",32,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",5,2,1,1,"Single house",6,4,0,0,0,0,0
4347,216848,"VII - Central Visayas",105428,"Wage/Salaries","0",17390,780,1111,54786,42000,24220,15766,0,2160,"Male",47,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",8,0,5,2,"Single house",20,25,2,1,0,5,0
4348,68166,"VIII - Eastern Visayas",43720,"Wage/Salaries","0",0,1056,1340,11760,4800,4822,8706,0,11392,"Male",33,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,2,1,"Single house",34,8,1,1,0,0,0
4349,742191,"NCR",388161,"Wage/Salaries","2",106100,261,27794,161568,108000,184078,66764,0,0,"Male",31,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,1,"Single house",274,36,2,1,0,3,1
4350,185577,"Caraga",103936,"Wage/Salaries","0",5260,0,18527,13002,6600,16038,18470,23820,23820,"Male",48,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,1,2,3,"Single house",29,21,2,1,0,2,2
4351,153931,"VIII - Eastern Visayas",79189,"Wage/Salaries","0",2180,10538,2030,20946,12000,15750,24598,23895,49352,"Male",68,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",15,2,6,1,"Single house",40,28,1,1,0,1,0
4352,98140,"II - Cagayan Valley",37830,"Enterpreneurial Activities","1",600,910,2860,23466,12600,2730,6570,61810,69210,"Male",61,"Married","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",2,0,0,0,"Single house",36,26,2,1,0,0,0
4353,463736,"IVA - CALABARZON",160662,"Wage/Salaries","0",50502,2896,12837,51546,0,59261,54304,0,0,"Male",26,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,0,5,"Single house",45,10,1,1,0,4,1
4354,398565,"I - Ilocos Region",78352,"Wage/Salaries","0",2278,1614,2610,48030,24000,19106,8988,0,0,"Male",70,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,1,3,"Single house",50,40,4,1,0,4,1
4355,95620,"XI - Davao Region",46160,"Wage/Salaries","0",46160,19370,685,6360,4800,240,2748,0,0,"Male",49,"Single","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",12,19,1,1,0,0,0
4356,89965,"IVB - MIMAROPA",40808,"Wage/Salaries","0",5850,0,3892,20052,12000,10322,7494,0,27390,"Female",57,"Divorced/Separated","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,1,"Single house",50,5,3,1,0,1,0
4357,265074,"XI - Davao Region",108665,"Wage/Salaries","0",33530,1281,11298,19008,9000,75497,14646,0,25240,"Male",50,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,0,1,1,"Single house",28,20,2,1,0,3,1
4358,44804,"XI - Davao Region",26152,"Wage/Salaries","1",0,520,1321,8340,6000,1437,1632,0,0,"Male",23,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",3,1,0,1,"Single house",11,5,2,0,0,0,0
4359,135899,"XI - Davao Region",98284,"Other sources of Income","2",20075,1734,4630,11352,5100,5490,8708,0,0,"Male",50,"Married","No Studies","No Job/Business","No Occupation","Unemployed",9,1,3,2,"Single house",42,2,3,1,0,1,0
4360,686056,"IVA - CALABARZON",195363,"Other sources of Income","0",68860,0,26950,157800,102000,241378,30112,0,0,"Male",42,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,2,3,"Duplex",50,7,2,1,0,5,0
4361,101317,"VI - Western Visayas",68542,"Other sources of Income","0",0,14562,295,10590,6000,5100,7764,0,0,"Female",79,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",7,1,4,1,"Single house",15,1,1,0,0,1,0
4362,79469,"I - Ilocos Region",23172,"Enterpreneurial Activities","1",800,0,1500,8484,4800,15762,4962,42925,61235,"Female",49,"Widowed","Elementary Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",1,0,0,1,"Single house",20,15,2,1,0,1,0
4363,131026,"VII - Central Visayas",57650,"Other sources of Income","0",1185,0,4020,36630,27000,5345,9540,1490,21299,"Male",65,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,1,1,"Single house",30,38,2,1,0,1,0
4364,125135,"V - Bicol Region",71703,"Wage/Salaries","0",33995,0,1530,13230,6600,30000,4788,0,6300,"Male",46,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",6,0,2,2,"Single house",20,7,2,1,0,2,0
4365,138026," ARMM",84097,"Other sources of Income","0",7890,520,6462,11874,8400,3092,8940,47240,54140,"Male",66,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,1,0,"Single house",80,36,1,0,0,2,0
4366,346317,"VI - Western Visayas",175771,"Wage/Salaries","0",29204,10737,5911,31860,9000,30757,22564,0,12374,"Male",52,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",9,1,2,3,"Single house",50,18,3,1,0,5,0
4367,343274,"XI - Davao Region",103520,"Other sources of Income","0",9122,0,5485,43986,27000,28559,9780,0,0,"Female",35,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",3,0,2,0,"Single house",70,47,2,1,0,2,0
4368,185170,"IVB - MIMAROPA",80030,"Enterpreneurial Activities","0",18282,240,3994,11904,6000,16588,8924,8370,128290,"Male",64,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,0,2,0,"Single house",33,29,2,1,0,2,0
4369,43810," ARMM",42606,"Enterpreneurial Activities","1",1100,0,145,5820,3000,2932,4350,14390,31130,"Male",71,"Married","High School Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",20,3,1,0,0,0,0
4370,96940,"VIII - Eastern Visayas",53981,"Wage/Salaries","0",1420,724,740,17844,3000,9882,3552,0,0,"Female",62,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",5,0,0,3,"Single house",84,29,2,1,0,2,0
4371,86584," ARMM",54584,"Enterpreneurial Activities","1",0,1304,780,16500,5700,5190,8424,0,75280,"Male",45,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",55,12,0,1,0,1,0
4372,226625,"VIII - Eastern Visayas",42393,"Other sources of Income","0",1560,0,1770,133584,120000,11673,6564,1080,1080,"Male",92,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Duplex",225,25,4,1,0,0,0
4373,889404,"X - Northern Mindanao",133240,"Wage/Salaries","0",23220,0,13240,41940,15000,43708,79234,0,138060,"Female",47,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,2,1,"Single house",54,27,2,1,0,7,0
4374,863360,"X - Northern Mindanao",130787,"Wage/Salaries","0",8250,900,2800,132480,78000,243714,81806,0,0,"Male",84,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,0,2,"Single house",27,25,6,1,2,1,0
4375,209245,"IVB - MIMAROPA",90810,"Other sources of Income","0",5300,1629,6220,24024,0,24511,13826,0,0,"Female",59,"Married","No Studies","No Job/Business","No Occupation","Unemployed",6,0,3,3,"Single house",127,15,2,1,0,4,0
4376,476610,"IVA - CALABARZON",149906,"Wage/Salaries","0",57802,16953,13410,96462,72000,120990,40314,0,44640,"Female",77,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",6,0,1,3,"Multi-unit residential",120,62,2,1,0,7,1
4377,174885,"VII - Central Visayas",79828,"Wage/Salaries","0",3332,7540,7003,12768,0,9171,11421,23798,32793,"Male",32,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",4,1,1,1,"Single house",120,7,2,1,0,2,1
4378,178310,"IVA - CALABARZON",74260,"Wage/Salaries","0",30150,1700,2330,44526,30000,23629,9810,0,0,"Male",42,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,1,2,1,"Single house",100,11,2,1,0,2,0
4379,158025,"IVB - MIMAROPA",66763,"Wage/Salaries","1",2414,9508,2520,14580,6600,4852,4880,0,0,"Female",39,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,0,4,2,"Single house",20,15,0,1,0,0,0
4380,60311,"XI - Davao Region",33592,"Wage/Salaries","1",7920,10420,3765,4056,1800,2170,2172,0,0,"Male",34,"Single","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",1,0,0,1,"Single house",20,15,1,0,0,1,0
4381,159862,"III - Central Luzon",78284,"Wage/Salaries","0",14583,7900,7020,31860,18000,29044,14640,0,20800,"Male",41,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,0,1,4,"Single house",36,16,2,1,0,2,0
4382,444446,"NCR",218646,"Wage/Salaries","0",129140,8006,10510,68040,42000,28634,36161,0,0,"Male",60,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",10,1,4,4,"Single house",69,50,3,1,0,3,0
4383,156336,"VI - Western Visayas",64537,"Other sources of Income","0",14540,0,3230,17454,7200,12892,5806,0,45818,"Male",35,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",4,0,2,1,"Single house",30,1,2,1,0,2,0
4384,826522,"V - Bicol Region",119764,"Enterpreneurial Activities","0",75650,0,10650,53160,30000,193642,24512,0,716522,"Female",40,"Divorced/Separated","Program Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",3,0,0,1,"Single house",100,40,4,1,1,6,1
4385,289732,"III - Central Luzon",139456,"Other sources of Income","0",21555,138,16915,25980,9000,68390,12948,0,0,"Male",16,"Single","High School Studies","No Job/Business","No Occupation","Unemployed",3,0,2,0,"Single house",30,14,1,1,0,3,1
4386,186223,"IVA - CALABARZON",97188,"Wage/Salaries","0",27365,0,2565,34392,18000,15759,15132,0,77977,"Male",37,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Single house",40,33,2,1,0,2,0
4387,76730,"I - Ilocos Region",68059,"Other sources of Income","0",23050,0,1825,24870,15000,22244,4624,4930,4930,"Male",58,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",5,0,3,0,"Single house",350,25,2,1,0,2,0
4388,105590,"V - Bicol Region",81917,"Enterpreneurial Activities","1",0,6804,1641,12780,9600,2661,1830,19979,65269,"Male",75,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",4,0,0,1,"Single house",11,8,0,0,0,1,0
4389,303779,"VI - Western Visayas",126775,"Wage/Salaries","0",34818,6682,13455,14976,6900,60887,38618,0,64394,"Male",56,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",8,1,2,1,"Single house",32,25,2,1,0,5,1
4390,142584,"VI - Western Visayas",110902,"Wage/Salaries","0",3378,438,4718,11520,4800,10634,5118,5290,5290,"Male",36,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,1,3,1,"Single house",11,15,1,1,0,1,0
4391,220700,"NCR",90090,"Wage/Salaries","0",35250,384,1250,61740,39000,16798,7068,0,0,"Male",36,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,1,1,1,"Single house",30,60,1,1,0,2,0
4392,191057,"VIII - Eastern Visayas",49928,"Other sources of Income","0",500,450,500,25818,19200,6012,10620,0,2350,"Male",77,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",31,29,2,1,0,0,0
4393,131810,"Caraga",92531,"Wage/Salaries","0",9260,8370,2205,13530,7800,15470,23934,0,0,"Male",54,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",12,0,7,4,"Single house",20,11,2,1,0,1,1
4394,164328,"III - Central Luzon",81889,"Other sources of Income","0",1000,9412,1430,75966,60000,44391,10338,32300,60680,"Male",54,"Married","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",2,0,0,0,"Single house",50,12,2,1,0,1,0
4395,511718,"VIII - Eastern Visayas",137922,"Wage/Salaries","0",31460,1595,4410,75708,42000,102897,32324,0,0,"Male",34,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,1,2,2,"Single house",96,15,2,1,0,4,1
4396,371840,"NCR",111932,"Other sources of Income","2",35976,13854,6450,76056,39000,40471,21396,0,70550,"Male",43,"Married","Program Studies","With Job/Business","Secondary Sector","Self-employed wihout any employee",6,0,1,2,"Single house",40,17,2,1,0,5,0
4397,59035,"IX - Zasmboanga Peninsula",31244,"Enterpreneurial Activities","1",0,0,250,4950,2700,2610,4006,43652,43652,"Male",53,"Married","High School Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",2,0,0,0,"Single house",10,18,0,0,0,0,0
4398,100598,"VI - Western Visayas",62789,"Enterpreneurial Activities","1",0,1032,1670,23190,15000,10612,3150,51360,51360,"Male",34,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,1,1,0,"Single house",26,5,2,1,0,0,1
4399,613680,"IVA - CALABARZON",119315,"Enterpreneurial Activities","0",5350,16256,1300,20130,6000,58686,18120,0,301698,"Male",45,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",4,0,0,3,"Single house",224,20,2,1,0,2,0
4400,443068,"VII - Central Visayas",104705,"Enterpreneurial Activities","0",4160,840,8198,69552,27000,47073,15890,0,180816,"Female",49,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",5,0,1,1,"Single house",43,20,3,1,0,5,1
4401,64250,"Caraga",45799,"Other sources of Income","1",0,1242,229,19302,9000,1484,4604,0,17566,"Female",24,"Single","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,1,"Single house",21,16,2,1,0,1,0
4402,94835,"VI - Western Visayas",71347,"Other sources of Income","0",7140,3120,1954,16842,9000,11358,6438,0,14400,"Female",75,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",5,0,2,1,"Single house",41,13,2,1,0,2,0
4403,119140," ARMM",38936,"Enterpreneurial Activities","1",3300,0,455,10440,6000,1950,8372,0,111900,"Male",33,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",20,13,1,0,0,0,0
4404,326090,"IX - Zasmboanga Peninsula",160373,"Wage/Salaries","0",27302,9698,3184,15900,6000,9064,51480,0,85732,"Male",39,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,0,3,1,"Single house",15,12,1,1,0,2,1
4405,226599,"V - Bicol Region",72052,"Other sources of Income","0",1800,1810,3820,37812,18000,35344,14480,0,49620,"Male",39,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,0,3,0,"Single house",40,31,3,1,0,3,1
4406,281240,"VIII - Eastern Visayas",108308,"Enterpreneurial Activities","0",2600,1350,6850,68628,5400,16100,13284,131560,131560,"Female",58,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",7,0,2,2,"Single house",54,50,3,1,0,5,1
4407,180097,"XI - Davao Region",68114,"Enterpreneurial Activities","1",5180,0,6980,7980,3000,18582,24356,40880,136138,"Male",49,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,1,3,1,"Single house",25,2,2,1,0,1,1
